nom,artistes,année,popularité,durée_ms,tonalité,mode,signature_temps,acoustique,dansabilité,énergie,instrumentalité,vivacité,loudness,parlant,valence,tempo,album
Hrs & Hrs,Muni Long,2022,73,204317,8,0,3,0.579,0.52,0.546,0,0.112,-4.991,0.213,0.634,137.419,Public Displays Of Affection: The Album
Water Under The Bridge,Sam Hunt,2022,68,169760,5,1,4,0.0697,0.635,0.866,0,0.0955,-2.695,0.0473,0.853,133.889,Water Under The Bridge
Question...?,Taylor Swift,2022,72,210557,7,1,4,0.226,0.751,0.502,0,0.297,-8.777,0.162,0.112,108.989,Midnights (3am Edition)
GigaChad Theme - Phonk House Version,g3ox_em,2022,80,146274,9,1,4,0.00166,0.588,0.496,0.936,0.186,-5.947,0.0417,0.582,128.001,GigaChad Theme (Phonk House Version)
Cinema,Harry Styles,2022,74,243508,9,0,4,0.354,0.829,0.644,0.0511,0.0944,-7.696,0.0427,0.896,105.993,Harry's House
Mentiras,"Grupo Los de la O, Ivan Cornejo",2022,75,234593,7,1,3,0.218,0.611,0.723,0,0.0715,-6.571,0.213,0.669,195.181,Pura Manzanita Vol. 3
Rush,Ayra Starr,2022,79,185093,1,1,4,0.0369,0.792,0.503,0.00057,0.0959,-8.044,0.0626,0.381,99.97,Rush
Banking On Me,Gunna,2022,70,200000,0,0,4,0.613,0.793,0.308,1.68e-05,0.0953,-10.414,0.0466,0.46,135.143,Banking On Me
El Hijo Mayor,Junior H,2022,80,196500,8,1,3,0.431,0.571,0.567,0,0.129,-6.873,0.0994,0.967,165.332,El Hijo Mayor
OOGA BOOGA!,Ski Mask The Slump God,2022,69,139038,1,1,4,0.101,0.847,0.916,0.000766,0.118,-5.757,0.222,0.751,104.018,OOGA BOOGA!
Dua Lipa,Jack Harlow,2022,72,135053,11,1,4,0.00161,0.833,0.652,0.0985,0.106,-6.942,0.0762,0.405,158.022,Come Home The Kids Miss You
Get to Gettin’ Gone,Bailey Zimmerman,2022,68,182466,6,1,4,0.247,0.59,0.685,0,0.0659,-6.689,0.0308,0.538,146.098,Get to Gettin’ Gone
Question...?,Taylor Swift,2022,74,210557,7,1,4,0.2,0.751,0.502,0,0.296,-8.763,0.167,0.106,108.943,Midnights
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2022,73,256124,9,1,4,0.735,0.659,0.323,0.00321,0.116,-13.425,0.0436,0.154,110.007,Midnights (3am Edition)
Fifth of May,Zach Bryan,2022,68,178151,4,1,4,0.391,0.596,0.544,3.06e-06,0.129,-7.039,0.0341,0.707,136.728,The Greatest Day of My Life
Gatita,Bellakath,2022,81,153063,7,1,4,0.16,0.895,0.847,0.223,0.338,-5.25,0.0519,0.735,101.006,Gatita
All My Love,Noah Kahan,2022,68,251511,2,1,4,0.32,0.637,0.651,0,0.0938,-7.089,0.0521,0.485,115.926,Stick Season
Numb Little Bug,Em Beihold,2022,72,169238,8,0,4,0.327,0.742,0.527,0,0.25,-6.892,0.0769,0.638,84.974,Numb Little Bug
People Watching,Conan Gray,2022,73,158537,5,1,4,0.381,0.53,0.592,0,0.294,-7.281,0.0534,0.544,125.721,Superache
2 Be Loved (Am I Ready),Lizzo,2022,77,187108,7,1,4,0.0922,0.721,0.769,0,0.0817,-4.111,0.105,0.915,155.932,Special
Andrea,"Bad Bunny, Buscabulla",2022,77,339612,1,0,4,0.762,0.797,0.616,0.000293,0.0979,-10.229,0.375,0.451,103.071,Un Verano Sin Ti
Hey Mor,"Ozuna, Feid",2022,82,196600,1,0,4,0.00302,0.901,0.589,0.000237,0.0992,-6.713,0.289,0.399,98.002,Hey Mor
Less Than Zero,The Weeknd,2022,75,211814,0,1,4,0.00096,0.535,0.791,0.000155,0.0788,-5.55,0.0327,0.5,142.981,Dawn FM
THE LONELIEST,Måneskin,2022,81,247067,2,1,4,0.00151,0.519,0.595,0,0.0762,-5.001,0.0283,0.237,129.786,THE LONELIEST
Aces,dkj,2022,74,122250,10,0,4,0.00118,0.602,0.537,0.947,0.289,-11.389,0.0332,0.428,139.94,Aces
Shut Down,BLACKPINK,2022,76,175889,0,1,3,0.00412,0.82,0.686,0,0.184,-5.102,0.038,0.668,110.058,BORN PINK
Until I Found You,Stephen Sanchez,2022,77,176667,10,1,3,0.757,0.346,0.5,0,0.189,-6.097,0.0388,0.191,202.466,Easy On My Eyes
Not Finished,Lil Baby,2022,69,163454,1,1,4,0.0123,0.785,0.524,0,0.365,-7.004,0.122,0.0855,142.007,It's Only Me
Already Dead,Juice WRLD,2022,71,231221,1,1,4,0.0216,0.744,0.495,0,0.111,-6.311,0.0634,0.128,83.51,Fighting Demons (Deluxe)
Feel Like This,Ingrid Andress,2022,68,196163,7,1,4,0.141,0.536,0.605,0,0.0614,-5.292,0.0338,0.341,130.053,Good Person
Gold,Dierks Bentley,2022,68,167760,1,1,4,0.0482,0.674,0.873,0,0.18,-4.256,0.0285,0.946,115.01,Gold
Vigilante Shit,Taylor Swift,2022,72,164801,4,0,4,0.16,0.87,0.279,1.74e-05,0.121,-11.134,0.364,0.16,79.996,Midnights (3am Edition)
No Le Aflojo,"Los Gemelos De Sinaloa, Fuerza Regida",2022,73,202876,5,0,4,0.195,0.698,0.687,0,0.0829,-4.115,0.0501,0.773,116.765,No Le Aflojo
Northern Attitude,Noah Kahan,2022,68,267256,3,1,4,0.113,0.512,0.636,3.8e-05,0.104,-8.087,0.0469,0.312,121.431,Stick Season
Champagne Face,"$uicideboy$, Germ",2022,68,140289,10,0,4,0.0231,0.894,0.767,2.36e-05,0.574,-4.695,0.137,0.412,144.077,DIRTIESTNASTIEST$UICIDE
Water (Drowning Pt. 2) [feat. Kodak Black],"A Boogie Wit da Hoodie, Kodak Black",2022,70,206769,0,1,4,0.0392,0.855,0.603,0,0.105,-5.488,0.284,0.494,129.976,Me vs. Myself
NO SNITCHING (with Dusty Locane),"Lil Mabu, DUSTY LOCANE",2022,71,160007,1,1,4,0.0595,0.729,0.64,0,0.348,-8.8,0.352,0.413,156.029,DOUBLE M'S
Motorcycle Drive By,Zach Bryan,2022,68,161799,3,1,4,0.0392,0.655,0.682,0,0.67,-4.562,0.0464,0.525,124.306,Summertime Blues
Pink Noise for Dreaming,Brightlo,2022,70,193250,1,1,5,0.911,0.167,0.113,0.94,0.112,-37.027,0.0649,0.148,124.716,Pink Noise for Dreaming
Sweet Nothing,Taylor Swift,2022,73,188497,0,1,4,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,0.39,176.655,Midnights
Perc & Sex,YN Jay,2022,68,154932,0,0,5,0.362,0.597,0.483,0.000138,0.17,-11.673,0.632,0.285,124.452,Coochie Goat
6000 Degrees (AH HA),$hyfromdatre,2022,68,102873,2,1,4,0.0365,0.918,0.517,0,0.0998,-7.085,0.156,0.158,131.983,6000 Degrees (AH HA)
THROW,"Lil Mabu, DD Osama",2022,70,138309,9,0,4,0.262,0.525,0.507,0,0.157,-9.04,0.408,0.353,73.376,THROW
In The Kitchen,Reneé Rapp,2022,70,227749,0,0,3,0.833,0.364,0.294,0,0.264,-6.578,0.0504,0.125,79.477,Everything To Everyone
"GRAVITY (FEAT. TYLER, THE CREATOR)","Brent Faiyaz, DJ Dahi, Tyler, The Creator",2022,69,214693,1,0,4,0.167,0.541,0.619,0.00633,0.144,-8.746,0.254,0.491,163.908,WASTELAND
We Ride,Bryan Martin,2022,68,188483,3,1,4,0.0736,0.62,0.719,8.84e-06,0.185,-4.177,0.0257,0.559,81.991,We Ride
United In Grief,Kendrick Lamar,2022,72,255378,8,1,3,0.244,0.529,0.845,0,0.143,-8.142,0.404,0.331,85.63,Mr. Morale & The Big Steppers
Voices In My Head,Falling In Reverse,2022,71,191415,2,0,4,0.0266,0.546,0.898,0,0.129,-3.067,0.162,0.639,173.17,Voices In My Head
"One Mic, One Gun","Nas, 21 Savage",2022,70,169693,1,1,4,0.0351,0.756,0.916,0,0.241,-2.692,0.207,0.458,149.961,"One Mic, One Gun"
Una Noche en Medellín,Cris Mj,2022,81,153750,10,0,4,0.0924,0.87,0.548,4.6e-05,0.0534,-5.253,0.077,0.832,96.018,Una Noche en Medellín
Yo No Soy Celoso,Bad Bunny,2022,76,230704,0,1,4,0.275,0.872,0.588,0,0.17,-6.276,0.0492,0.93,142.004,Un Verano Sin Ti
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2022,71,222497,10,0,4,0.181,0.514,0.779,0,0.099,-4.365,0.344,0.517,152.869,Mr. Morale & The Big Steppers
Talk that Talk,TWICE,2022,77,177467,3,0,4,0.136,0.772,0.907,0,0.334,-2.438,0.124,0.783,119.973,BETWEEN 1&2
Light Switch,Charlie Puth,2022,77,187704,6,1,4,0.105,0.689,0.627,0.000321,0.0905,-5.692,0.308,0.905,184.008,CHARLIE
Strange,Miranda Lambert,2022,67,211227,6,1,4,0.0551,0.723,0.633,1.93e-05,0.0665,-6.982,0.0332,0.498,112.022,Palomino
PUNTO G,Quevedo,2022,85,151325,11,0,4,0.251,0.751,0.761,0.000238,0.0991,-4.113,0.15,0.553,92.032,PUNTO G
Never Hating (feat. Young Thug),"Lil Baby, Young Thug",2022,69,160777,8,1,4,0.0016,0.879,0.504,0,0.147,-8.284,0.271,0.335,102.929,It's Only Me
Dance Now (feat. Kenny Mason),"JID, Kenny Mason",2022,70,227556,1,1,4,0.0919,0.786,0.475,9.6e-06,0.176,-10.902,0.248,0.264,135.0,The Forever Story (Extended Version)
Pretty Girls Walk,Big Boss Vette,2022,68,140053,9,1,4,0.027,0.923,0.678,0.00598,0.0656,-7.124,0.0837,0.72,90.013,Pretty Girls Walk
Russell County Line,49 Winchester,2022,67,249873,2,1,4,0.169,0.635,0.318,2.43e-05,0.103,-9.053,0.0347,0.395,95.056,Fortune Favors the Bold
Dos Mil 16,Bad Bunny,2022,78,208615,1,1,3,0.123,0.817,0.67,1.92e-06,0.128,-6.534,0.0506,0.495,130.058,Un Verano Sin Ti
Feliz Cumpleaños Ferxxo,Feid,2022,85,155960,5,1,4,0.0863,0.865,0.573,0,0.305,-5.501,0.0678,0.563,94.999,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM
Inseparables,"Yahritza Y Su Esencia, Ivan Cornejo",2022,68,171724,3,1,3,0.726,0.676,0.441,0,0.0884,-6.929,0.0253,0.515,140.091,Inseparables
Devil Doesn’t Bargain,Alec Benjamin,2022,73,163613,3,1,4,0.577,0.448,0.606,0,0.217,-4.565,0.0609,0.483,121.15,(Un)Commentary
LOVE YOU BETTER,Future,2022,69,129480,5,1,4,0.478,0.709,0.357,0.000294,0.112,-9.289,0.214,0.544,75.494,I NEVER LIKED YOU
CASE 143,Stray Kids,2022,76,191965,6,0,4,0.0961,0.812,0.89,0,0.0222,-2.661,0.209,0.69,100.006,MAXIDENT
Super Freaky Girl,Nicki Minaj,2022,73,170977,2,1,4,0.0509,0.951,0.878,1.61e-05,0.321,-2.565,0.211,0.923,133.014,Queen Radio: Volume 1
this is what heartbreak feels like,JVKE,2022,72,157636,1,1,4,0.578,0.707,0.474,0,0.11,-4.603,0.0672,0.538,109.991,this is what ____ feels like (Vol. 1-4)
What Happened To Virgil (feat. Gunna),"Lil Durk, Gunna",2022,69,181393,6,0,4,0.067,0.795,0.526,2e-06,0.134,-9.086,0.204,0.194,140.037,7220
Ya Te Perdí - Deluxe,Ivan Cornejo,2022,67,264300,8,1,4,0.469,0.55,0.352,7.48e-05,0.119,-9.236,0.0272,0.169,123.794,Dañado (Deluxe)
I Dream of Chrome,"$uicideboy$, Germ",2022,68,145843,0,1,4,0.0484,0.84,0.934,0,0.0961,-3.717,0.119,0.67,149.994,DIRTIESTNASTIEST$UICIDE
Un Verano Sin Ti,Bad Bunny,2022,77,148143,5,0,4,0.693,0.503,0.496,0,0.123,-9.123,0.0556,0.412,187.844,Un Verano Sin Ti
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",2022,78,234000,8,1,4,0.0027,0.553,0.659,0,0.105,-7.295,0.0391,0.105,120.146,Paradise Again
Hold Me Closer,"Elton John, Britney Spears",2022,79,202246,0,1,4,0.0746,0.667,0.75,0.000198,0.197,-4.602,0.0906,0.486,126.041,Hold Me Closer
Sometimes,Juice WRLD,2022,69,259672,8,1,4,0.0609,0.674,0.58,0,0.159,-4.866,0.0311,0.0759,121.987,Fighting Demons (Deluxe)
Talk,Yeat,2022,69,174857,4,0,4,0.0845,0.698,0.763,0,0.54,-4.718,0.229,0.256,139.998,Talk
blame's on me,Alexander Stewart,2022,77,138375,1,0,3,0.863,0.306,0.121,0,0.167,-17.118,0.0396,0.238,159.08,blame's on me
No Body,Blake Shelton,2022,67,187640,4,1,4,0.0379,0.739,0.72,0.00267,0.23,-6.695,0.026,0.892,102.997,No Body
Down In Atlanta,"Pharrell Williams, Travis Scott",2022,74,164041,7,1,3,0.337,0.851,0.819,0.000153,0.0658,-5.173,0.212,0.903,83.154,Down In Atlanta
Igualito a Mi Apá,"Fuerza Regida, Peso Pluma",2022,75,166821,4,0,4,0.188,0.758,0.812,0,0.0564,-3.272,0.0854,0.795,144.908,Pa Que Hablen
Coast (feat. Anderson .Paak),"Hailee Steinfeld, Anderson .Paak",2022,72,166720,11,1,4,0.0262,0.701,0.875,7.32e-06,0.137,-4.1,0.0757,0.84,111.976,Coast
Worth A Shot (feat. Dierks Bentley),"Elle King, Dierks Bentley",2022,67,211933,0,1,4,0.00481,0.554,0.809,0.00156,0.111,-4.893,0.039,0.462,159.989,Worth A Shot (feat. Dierks Bentley)
Te Amo,Edgardo Nuñez,2022,74,193621,8,1,5,0.368,0.741,0.542,0,0.162,-4.726,0.0262,0.763,79.998,Te Amo
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,76,196520,9,1,4,0.899,0.247,0.299,0,0.131,-6.083,0.0315,0.172,177.115,Black Panther: Wakanda Forever - Music From and Inspired By
DESPECHÁ,ROSALÍA,2022,84,157018,7,1,4,0.184,0.919,0.623,1.63e-05,0.0609,-6.521,0.0992,0.775,130.037,DESPECHÁ
Como Quieras Quiero,Eden Muñoz,2022,77,122097,10,1,3,0.644,0.555,0.707,1.07e-05,0.101,-7.665,0.12,0.963,185.914,Consejos Gratis
Calidad,"Grupo Firme, Luis Mexia",2022,79,170053,0,1,3,0.609,0.731,0.491,0,0.262,-3.116,0.029,0.781,132.891,Calidad
Sweet Nothing,Taylor Swift,2022,71,188497,0,1,4,0.967,0.334,0.161,4.71e-05,0.115,-14.875,0.0506,0.396,176.747,Midnights (3am Edition)
10 Things I Hate About You,Leah Kate,2022,72,157138,8,1,4,0.00991,0.544,0.786,0,0.169,-2.97,0.0501,0.446,153.967,10 Things I Hate About You
MAMIII,"Becky G, KAROL G",2022,77,226088,4,0,4,0.0934,0.843,0.7,0,0.14,-3.563,0.0803,0.899,93.991,MAMIII
LOVE DIVE,IVE,2022,78,177187,1,0,4,0.00379,0.703,0.709,5.43e-05,0.333,-4.169,0.0433,0.538,117.941,LOVE DIVE
El Apagón,Bad Bunny,2022,74,201816,8,1,4,0.0509,0.629,0.698,0.00166,0.0909,-4.485,0.308,0.599,117.765,Un Verano Sin Ti
Broadway Girls (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2022,67,185600,10,1,4,0.0417,0.659,0.745,0,0.296,-3.599,0.0347,0.54,74.967,7220 (Reloaded)
Cooped Up / Return Of The Mack,"Post Malone, Mark Morrison, Sickick",2022,71,127253,2,1,4,0.01,0.727,0.839,3.63e-06,0.177,-4.781,0.184,0.338,95.485,Cooped Up / Return Of The Mack
Way Down Yonder,Chase Rice,2022,67,218213,6,0,4,0.17,0.476,0.818,1.24e-05,0.13,-4.259,0.0388,0.626,144.131,Way Down Yonder
Alone,Rod Wave,2022,66,191159,3,0,4,0.703,0.596,0.545,0,0.0811,-6.911,0.0368,0.0923,82.07,Beautiful Mind
Sundown Somewhere,Restless Road,2022,67,162842,11,1,4,0.0425,0.602,0.892,1.03e-06,0.172,-4.394,0.0333,0.709,114.034,Sundown Somewhere
Brown Eyes Baby,Keith Urban,2022,67,224985,8,1,4,0.0906,0.521,0.833,3.13e-06,0.0647,-6.992,0.0313,0.581,141.944,Brown Eyes Baby
Labyrinth,Taylor Swift,2022,72,247962,0,1,4,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,0.122,110.014,Midnights
PAINTING PICTURES,Superstar Pride,2022,68,122070,11,0,4,0.305,0.956,0.515,0,0.156,-9.962,0.337,0.69,119.937,5LBS OF PRESSURE
LA INOCENTE,"Mora, Feid",2022,84,202174,5,0,4,0.307,0.757,0.789,0,0.0717,-3.46,0.0583,0.464,91.911,MICRODOSIS
Damn You,Ella Langley,2022,67,183413,4,1,4,0.0508,0.58,0.881,0,0.106,-3.004,0.042,0.384,76.989,Damn You
F.N.F. (Let's Go),"Hitkidd, GloRilla",2022,67,137580,1,1,4,0.0374,0.864,0.476,0,0.374,-10.068,0.436,0.647,157.144,F.N.F. (Let's Go)
Shabooya,"Hitkidd, Gloss Up, K Carbon, Slimeroni, Aleza",2022,67,178824,9,0,4,0.00782,0.878,0.62,0,0.0635,-4.956,0.289,0.835,145.016,Shabooya
Vette Motors,YoungBoy Never Broke Again,2022,67,173419,10,0,4,0.0298,0.83,0.644,0,0.11,-5.431,0.407,0.227,155.103,The Last Slimeto
Labyrinth,Taylor Swift,2022,71,247962,0,1,4,0.791,0.487,0.313,0.348,0.124,-15.434,0.0487,0.141,110.039,Midnights (3am Edition)
Wild Flower (with youjeen),"RM, Youjeen",2022,80,273500,8,1,4,0.0282,0.486,0.766,0,0.123,-5.821,0.0938,0.417,154.992,Indigo
Glitch,Taylor Swift,2022,71,148781,11,0,4,0.361,0.675,0.466,0,0.11,-9.738,0.201,0.347,140.864,Midnights (3am Edition)
Solo Me Dejaste,Grupo Marca Registrada,2022,74,186709,7,0,3,0.539,0.609,0.515,0.0839,0.0722,-9.843,0.0486,0.853,152.787,Solo Me Dejaste
Collide (Sped Up Remix),"Justine Skye, Tyga",2022,79,221169,2,0,4,0.0882,0.362,0.432,0,0.264,-9.359,0.112,0.256,81.29,Collide (Remix Pack)
Girl In Mine,Parmalee,2022,67,155120,8,1,4,0.167,0.459,0.682,0,0.11,-4.235,0.0464,0.887,201.831,Girl In Mine
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022,76,136913,8,1,3,0.329,0.628,0.668,0,0.139,-2.722,0.117,0.845,148.746,Pa Que Hablen
Beat the Odds,Lil Tjay,2022,71,150000,8,0,4,0.054,0.498,0.625,0,0.175,-7.452,0.342,0.478,84.821,Beat the Odds
DESPECHÁ,ROSALÍA,2022,81,156788,7,1,4,0.146,0.914,0.622,1.68e-05,0.0632,-6.538,0.0892,0.77,130.04,MOTOMAMI +
Dial Tone,Catch Your Breath,2022,70,200495,4,0,4,0.00118,0.507,0.816,0,0.0972,-5.419,0.0436,0.239,91.068,Dial Tone
ENERGY (feat. Beam),"Beyoncé, BEAM",2022,72,116727,1,1,4,0.281,0.903,0.519,0.000106,0.155,-9.151,0.26,0.587,114.991,RENAISSANCE
Sick of U (with Oliver Tree),"BoyWithUke, Oliver Tree",2022,73,168676,0,1,4,0.277,0.676,0.814,0,0.0953,-3.213,0.0585,0.601,92.554,Sick of U
The 30th,Billie Eilish,2022,73,216448,7,1,4,0.929,0.387,0.135,0,0.0948,-14.398,0.051,0.21,82.987,Guitar Songs
Treacherous Twins,"Drake, 21 Savage",2022,70,180098,10,0,4,0.0782,0.746,0.517,0,0.137,-7.582,0.327,0.609,88.987,Her Loss
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",2022,78,173381,11,0,4,0.237,0.728,0.783,0,0.434,-4.424,0.266,0.555,77.011,Mercury - Acts 1 & 2
Hublot,"Los Farmerz, Los Nuevos Escoltas",2022,72,225250,2,1,1,0.133,0.824,0.672,1.97e-06,0.114,-7.679,0.126,0.797,120.538,Hublot
All the Time,Zach Bryan,2022,66,199500,4,0,4,0.272,0.422,0.439,0,0.124,-6.606,0.0311,0.277,151.785,Summertime Blues
CHAO BEBE,"Ovy On The Drums, Ozuna",2022,77,206499,5,0,4,0.649,0.869,0.74,7.95e-06,0.135,-4.699,0.108,0.598,117.949,CHAO BEBE
Long Live Cowgirls (with Cody Johnson),"Ian Munsick, Cody Johnson",2022,66,184747,10,1,3,0.291,0.233,0.432,0,0.279,-5.957,0.0321,0.286,195.663,Long Live Cowgirls (with Cody Johnson)
New Gold (feat. Tame Impala and Bootie Brown),"Gorillaz, Tame Impala, Bootie Brown",2022,73,215150,1,0,3,0.0425,0.695,0.923,0.0469,0.116,-3.93,0.0522,0.551,108.014,New Gold (feat. Tame Impala and Bootie Brown)
Middle of the Ocean,Drake,2022,70,356389,4,0,3,0.18,0.466,0.703,0,0.422,-5.774,0.393,0.25,76.815,Her Loss
Munch (Feelin’ U),Ice Spice,2022,70,104819,11,0,4,0.291,0.811,0.528,0,0.0787,-7.278,0.275,0.635,166.084,Munch (Feelin’ U)
La Máquina,"Anuel AA, Jowell & Randy, De La Ghetto, Yailin la Mas Viral",2022,76,296907,11,1,4,0.0308,0.799,0.775,0.00526,0.309,-5.869,0.077,0.605,95.027,LLNM2
La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",2022,79,254920,9,0,4,0.105,0.795,0.845,1.14e-05,0.172,-3.809,0.135,0.769,170.023,La Llevo Al Cielo (Ft. Ñengo Flow)
Her,Megan Thee Stallion,2022,68,137107,1,1,4,0.374,0.945,0.848,3.31e-05,0.101,-4.76,0.326,0.819,119.918,Traumazine
DEAD MAN WALKING,Brent Faiyaz,2022,69,247080,9,0,4,0.303,0.51,0.272,0,0.0958,-13.763,0.0557,0.435,143.984,WASTELAND
Hot Shit (feat. Ye & Lil Durk),"Cardi B, Kanye West, Lil Durk",2022,69,211649,9,1,4,0.00152,0.878,0.685,0,0.0753,-5.28,0.225,0.523,157.003,Hot Shit (feat. Ye & Lil Durk)
Green Green Grass,George Ezra,2022,79,167614,8,1,4,0.0695,0.685,0.738,0,0.128,-4.413,0.0595,0.8,112.972,Gold Rush Kid
See Red,"TaTa, Jenn Carter",2022,67,120047,6,1,4,0.358,0.661,0.877,0,0.229,-3.85,0.361,0.817,145.169,See Red
Step Back!,"1nonly, SXMPRA",2022,75,150675,1,1,4,0.185,0.783,0.89,0.00417,0.0969,-5.995,0.2,0.437,127.996,Step Back!
Nothing Is Lost (You Give Me Strength),The Weeknd,2022,77,267505,5,1,4,0.0002,0.52,0.693,2.2e-05,0.122,-7.704,0.0331,0.12,126.985,Avatar: The Way of Water (Original Motion Picture Soundtrack)
Dancin' In The Moonlight (feat. Lauren Alaina),"Chris Lane, Lauren Alaina",2022,67,199000,8,0,4,0.0196,0.589,0.829,0,0.128,-4.861,0.0332,0.563,121.998,Dancin' In The Moonlight (feat. Lauren Alaina)
Fucking Your Culture,$uicideboy$,2022,67,195994,11,1,4,0.0146,0.752,0.807,0.000376,0.8,-4.386,0.172,0.442,87.507,"Sing Me a Lullaby, My Sweet Temptation"
Dear Reader,Taylor Swift,2022,71,225194,0,1,4,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,0.159,107.747,Midnights (3am Edition)
Ojos Cerrados,"Banda MS de Sergio Lizárraga, Carin Leon",2022,74,180750,7,1,4,0.336,0.513,0.345,0,0.0584,-7.579,0.0691,0.68,79.981,Ojos Cerrados
Twin (feat. Lil Durk),"Roddy Ricch, Lil Durk",2022,68,148855,11,0,4,0.031,0.785,0.609,5.47e-05,0.096,-8.623,0.186,0.326,83.962,Twin (feat. Lil Durk)
My Mind & Me,Selena Gomez,2022,75,147597,9,1,4,0.566,0.6,0.389,0,0.0826,-5.727,0.0337,0.244,143.577,My Mind & Me
METAMORPHOSIS - Sped Up,INTERWORLD,2022,77,110936,11,0,4,0.472,0.679,0.69,0.904,0.181,-10.582,0.0732,0.136,112.478,METAMORPHOSIS (Sped Up)
JACKIE BROWN,Brent Faiyaz,2022,68,169014,10,1,4,0.65,0.726,0.353,0.002,0.224,-10.273,0.105,0.503,137.66,WASTELAND
Genesis,$uicideboy$,2022,67,162138,0,1,4,0.0109,0.55,0.762,0.00179,0.398,-7.861,0.32,0.347,200.211,"Sing Me a Lullaby, My Sweet Temptation"
Solita (En Vivo),"Lenin Ramírez, Luis R Conriquez",2022,77,215984,1,0,1,0.498,0.677,0.657,0,0.0562,-4.657,0.0596,0.812,116.225,Solita (En Vivo)
Breakfast,Dove Cameron,2022,72,148471,2,0,4,0.0579,0.64,0.553,0,0.0914,-6.42,0.0411,0.486,81.992,Breakfast
Forget Me,Lewis Capaldi,2022,80,203472,1,0,4,0.296,0.669,0.742,0,0.355,-3.518,0.0441,0.716,101.982,Forget Me
The Astronaut,JIN,2022,80,282463,5,1,4,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,0.215,124.988,The Astronaut
Ando Enfocado,"Jaziel Avilez, Codiciado, Peso Pluma",2022,75,184107,7,0,3,0.137,0.67,0.661,0,0.0787,-7.165,0.1,0.36,174.902,Ando Enfocado
Center Core Never More,"$uicideboy$, Germ",2022,67,164723,8,1,4,0.0105,0.655,0.782,0.00367,0.12,-6.825,0.392,0.372,167.003,DIRTIESTNASTIEST$UICIDE
Hate My Heart,Carrie Underwood,2022,66,183573,7,1,4,0.00958,0.524,0.923,0,0.102,-3.53,0.085,0.318,149.972,Denim & Rhinestones
"My Swisher Sweet, But My Sig Sauer","$uicideboy$, Germ",2022,67,226932,0,1,4,0.000275,0.683,0.969,0.126,0.94,-3.29,0.171,0.595,170.017,"My Swisher Sweet, But My Sig Sauer"
Loco Enamorado,"Junior H, Edgardo Nuñez",2022,74,226000,11,0,1,0.0887,0.569,0.38,0,0.16,-7.231,0.092,0.481,77.556,Loco Enamorado
Agosto,Bad Bunny,2022,76,139041,1,0,4,0.0929,0.849,0.584,6.18e-06,0.492,-8.195,0.115,0.724,115.018,Un Verano Sin Ti
Dame un Beso y Dime Adios - En Vivo,"Carin Leon, Grupo Yndio",2022,76,239310,9,1,4,0.366,0.379,0.775,0.000135,0.0718,-3.403,0.0415,0.435,144.749,Cura Local (En Vivo)
Do It Right,Don Toliver,2022,70,174474,5,1,4,0.458,0.662,0.515,0,0.163,-6.867,0.199,0.386,69.808,Do It Right
Bestie,"DaBaby, YoungBoy Never Broke Again",2022,67,111971,0,1,4,0.0741,0.807,0.625,0,0.487,-6.67,0.351,0.871,146.031,BETTER THAN YOU
Sacrifice,The Weeknd,2022,75,188918,11,0,4,0.0296,0.735,0.795,3.18e-05,0.0678,-6.523,0.113,0.905,122.0,Dawn FM
Gilded Lily - Sped Up,Cults,2022,73,192727,1,0,4,0.484,0.382,0.586,7.7e-06,0.167,-6.402,0.031,0.119,68.156,Offering
Enséñame a Bailar,Bad Bunny,2022,77,176000,8,1,4,0.191,0.81,0.789,1.08e-05,0.467,-5.08,0.0846,0.77,105.009,Un Verano Sin Ti
Bikini Bottom,Ice Spice,2022,69,106667,8,1,3,0.21,0.749,0.629,1.62e-06,0.0849,-5.434,0.216,0.577,161.945,Bikini Bottom
Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",2022,83,148629,5,0,3,0.118,0.607,0.767,0,0.122,-6.069,0.0474,0.662,123.998,Bad Memories (feat. Elley Duhé & FAST BOY)
Sweet Little Lies,Rod Wave,2022,65,174750,10,1,4,0.014,0.656,0.679,0,0.101,-8.594,0.0598,0.27,159.978,Beautiful Mind
Out In The Middle,"Zac Brown Band, Blake Shelton",2022,66,166301,1,1,4,0.0237,0.516,0.867,0,0.106,-3.139,0.0328,0.615,166.031,Out in the Middle
